query_id,regime,correlation,method,n,dim,k,allowed_count,selectivity,returned,recall_at_k,secure_topk_exact,failure_mode,policy_violations,deleted_violations,tenant_violations,explanation_valid,explanation_total,explanation_accuracy,latency_ms,raw_candidates,candidates,distance_evals,policy_checks,summary_checks,visited_cluster_count,certified,certified_and_exact,certificate_false_positive,certificate_gap,truncated_visible_slice
0,broad,positive,ExactSecure,5000,64,10,2306,0.4612,10,1.0,1,none,0,0,0,10,10,1.0,2.623864999804937,5000,2306,2306,5000,0,0,1,1,0,0.0,0
0,broad,positive,PreFilter-Exact,5000,64,10,2306,0.4612,10,1.0,1,none,0,0,0,10,10,1.0,2.707243999793718,5000,2306,2306,5000,0,0,1,1,0,0.0,0
0,broad,positive,BitmapSlice-Exact,5000,64,10,2306,0.4612,10,1.0,1,none,0,0,0,10,10,1.0,3.169114000229456,2539,2306,2306,2539,0,0,1,1,0,0.0,0
0,broad,positive,ScalarOnly,5000,64,10,2306,0.4612,10,0.1,0,ranking_truncation,0,0,0,10,10,1.0,2.5805450000007113,5000,2306,0,5000,0,0,0,1,0,0.0,0
0,broad,positive,PostFilter-IVF,5000,64,10,2306,0.4612,10,1.0,1,none,0,0,0,10,10,1.0,1.2085019998266944,1404,696,1404,1404,0,8,0,1,0,0.0,0
0,broad,positive,AdaptivePostFilter-IVF,5000,64,10,2306,0.4612,10,1.0,1,none,0,0,0,10,10,1.0,4.7398020001310215,4800,2205,4800,4800,0,31,0,1,0,0.0,0
0,broad,positive,ExactPrefix-PostFilter,5000,64,10,2306,0.4612,10,1.0,1,none,0,0,0,10,10,1.0,1.9838889998027298,2400,1067,5000,2400,0,0,0,1,0,0.0,0
0,broad,positive,TenantPartition-IVF,5000,64,10,2306,0.4612,10,1.0,1,none,0,0,0,10,10,1.0,0.9515470001133508,1404,696,1404,1404,0,8,0,1,0,0.0,0
0,broad,positive,PreFilter-IVF,5000,64,10,2306,0.4612,10,1.0,1,none,0,0,0,10,10,1.0,1.1796660000982229,1404,696,696,1404,8,8,0,1,0,0.0,0
0,broad,positive,PACER-A,5000,64,10,2306,0.4612,10,1.0,1,none,0,0,0,10,10,1.0,5.650797999805945,2400,2181,2400,2400,31,31,0,1,0,0.543949544429779,1
0,broad,positive,PACER-C,5000,64,10,2306,0.4612,10,1.0,1,none,0,0,0,10,10,1.0,5.818221000026824,2539,2306,2539,2539,32,32,1,1,0,0.0,0
0,broad,positive,PACER-X,5000,64,10,2306,0.4612,10,1.0,1,none,0,0,0,10,10,1.0,5.654191000303399,2539,2306,2539,2539,32,32,1,1,0,0.0,0
0,broad,positive,PACER-A-NoSlices,5000,64,10,2306,0.4612,10,1.0,1,none,0,0,0,10,10,1.0,3.215701000044646,2400,1177,2400,2400,16,16,0,1,0,0.5883345007896423,1
0,broad,positive,PACER-A-NoBounds,5000,64,10,2306,0.4612,10,1.0,1,none,0,0,0,10,10,1.0,5.488491000050999,2400,2181,2400,2400,31,31,0,1,0,0.0,1
0,broad,positive,StaleNoRecheck,5000,64,10,2306,0.4612,10,1.0,1,none,0,0,0,10,10,1.0,1.2118190002183837,1404,747,1404,1404,0,8,0,1,0,0.0,0
0,broad,positive,NaiveNoPolicy,5000,64,10,2306,0.4612,10,0.9,0,ranking_truncation,0,0,1,9,10,0.9,0.4597250003826048,1404,1404,1404,0,0,8,0,1,0,0.0,0
1,medium,positive,ExactSecure,5000,64,10,140,0.028,10,1.0,1,none,0,0,0,10,10,1.0,2.542264000112482,5000,140,140,5000,0,0,1,1,0,0.0,0
1,medium,positive,PreFilter-Exact,5000,64,10,140,0.028,10,1.0,1,none,0,0,0,10,10,1.0,2.5257560000682133,5000,140,140,5000,0,0,1,1,0,0.0,0
1,medium,positive,BitmapSlice-Exact,5000,64,10,140,0.028,10,1.0,1,none,0,0,0,10,10,1.0,0.2793300000121235,151,140,140,151,0,0,1,1,0,0.0,0
1,medium,positive,ScalarOnly,5000,64,10,140,0.028,10,0.0,0,ranking_truncation,0,0,0,10,10,1.0,2.5331619999633403,5000,140,0,5000,0,0,0,1,0,0.0,0
1,medium,positive,PostFilter-IVF,5000,64,10,140,0.028,10,0.2,0,ranking_truncation,0,0,0,10,10,1.0,1.7171089998555544,1268,31,1268,1268,0,8,0,1,0,0.0,0
1,medium,positive,AdaptivePostFilter-IVF,5000,64,10,140,0.028,10,1.0,1,none,0,0,0,10,10,1.0,6.861012000172195,4800,133,4800,4800,0,31,0,1,0,0.0,0
1,medium,positive,ExactPrefix-PostFilter,5000,64,10,140,0.028,10,1.0,1,none,0,0,0,10,10,1.0,2.733270000135235,2400,56,5000,2400,0,0,0,1,0,0.0,0
1,medium,positive,TenantPartition-IVF,5000,64,10,140,0.028,10,0.2,0,ranking_truncation,0,0,0,10,10,1.0,1.0407280001345498,1268,31,1268,1268,0,8,0,1,0,0.0,0
1,medium,positive,PreFilter-IVF,5000,64,10,140,0.028,10,0.2,0,ranking_truncation,0,0,0,10,10,1.0,1.9227899997531495,1182,38,38,1182,9,8,0,1,0,0.0,0
1,medium,positive,PACER-A,5000,64,10,140,0.028,10,1.0,1,none,0,0,0,10,10,1.0,3.0503060002047278,151,140,151,151,32,28,1,1,0,0.0,0
