epoch,queries,stale_residues_in_index,pacer_deleted_results,pacer_certify_deleted_results,stale_no_recheck_deleted_results,naive_deleted_results
1,32,40,0,0,70,114
2,32,88,0,0,50,72
3,32,154,0,0,30,48
4,32,237,0,0,21,32
5,32,333,0,0,20,24
6,32,419,0,0,24,28
7,32,504,0,0,27,33
8,32,546,0,0,29,33
9,32,581,0,0,31,36
