query_id,regime,correlation,method,budget,recall_at_k,secure_topk_exact,latency_ms,candidates,raw_candidates,distance_evals,policy_checks,policy_violations,deleted_violations,tenant_violations,certified
0,broad,positive,PostFilter-IVF,150,0.5,0,0.4977429998689331,64,150,150,150,0,0,0,0
0,broad,positive,AdaptivePostFilter-IVF,150,0.1,0,0.25883199987219996,83,150,150,150,0,0,0,0
0,broad,positive,PACER-A,150,0.1,0,0.7611170003656298,143,150,150,150,0,0,0,0
1,medium,positive,PostFilter-IVF,150,0.2,0,0.31841400004850584,2,150,150,150,0,0,0,0
1,medium,positive,AdaptivePostFilter-IVF,150,0.1,0,0.19355799986442435,6,150,150,150,0,0,0,0
1,medium,positive,PACER-A,150,1.0,1,2.533932000005734,141,150,150,150,0,0,0,0
2,narrow,positive,PostFilter-IVF,150,0.14285714285714285,0,0.3393910001250333,1,150,150,150,0,0,0,0
2,narrow,positive,AdaptivePostFilter-IVF,150,0.2857142857142857,0,0.17696899976726854,2,150,150,150,0,0,0,0
2,narrow,positive,PACER-A,150,1.0,1,0.3801279999606777,7,8,8,8,0,0,0,1
3,cold,positive,PostFilter-IVF,150,0.3333333333333333,0,0.33285400013483013,2,150,150,150,0,0,0,0
3,cold,positive,AdaptivePostFilter-IVF,150,0.0,0,0.1473479997002869,0,150,150,150,0,0,0,0
3,cold,positive,PACER-A,150,1.0,1,0.27520300000105635,6,6,6,6,0,0,0,1
4,broad,positive,PostFilter-IVF,150,0.5,0,0.30588800018449547,64,150,150,150,0,0,0,0
4,broad,positive,AdaptivePostFilter-IVF,150,0.1,0,0.21079499992993078,38,150,150,150,0,0,0,0
4,broad,positive,PACER-A,150,0.2,0,0.5072940002719406,140,150,150,150,0,0,0,0
5,medium,positive,PostFilter-IVF,150,0.9,0,0.40384299973084126,12,150,150,150,0,0,0,0
5,medium,positive,AdaptivePostFilter-IVF,150,0.5,0,0.15863099997659447,18,150,150,150,0,0,0,0
5,medium,positive,PACER-A,150,1.0,1,1.959944999725849,135,150,150,150,0,0,0,0
6,narrow,positive,PostFilter-IVF,150,0.0,0,0.2801089999593387,0,150,150,150,0,0,0,0
