epoch,queries,stale_residues_in_index,pacer_deleted_results,pacer_certify_deleted_results,stale_no_recheck_deleted_results,naive_deleted_results
1,32,78,0,0,78,116
2,32,187,0,0,47,77
3,32,321,0,0,36,56
4,32,480,0,0,28,38
5,32,643,0,0,20,16
6,32,821,0,0,21,22
7,32,1015,0,0,27,30
8,32,1100,0,0,28,33
9,32,1160,0,0,30,38
