epoch,queries,stale_residues_in_index,pacer_deleted_results,pacer_certify_deleted_results,stale_no_recheck_deleted_results,naive_deleted_results
1,24,2,0,0,156,170
2,24,8,0,0,138,136
3,24,570,0,0,106,92
4,24,570,0,0,41,45
5,24,613,0,0,9,8
6,24,881,0,0,21,18
7,24,924,0,0,22,20
8,24,939,0,0,22,20
9,24,1067,0,0,31,22
