seed,correlation,delete_rate,query_id,method,recall_at_k,secure_topk_exact,raw_candidates,latency_ms,violations,certified
11,positive,0.0,10,PACER-C,1.000000,1.000000,3.000,0.179420,0,1
11,positive,0.0,10,PACER-X,1.000000,1.000000,3.000,0.178842,0,1
11,positive,0.0,11,PostFilter-IVF,0.500000,0.000000,571.000,0.574480,0,0
11,positive,0.0,11,PreFilter-IVF,1.000000,1.000000,316.000,0.631672,0,0
11,positive,0.0,11,BitmapSlice-Exact,1.000000,1.000000,4.000,0.095264,0,1
11,positive,0.0,11,PACER-A,1.000000,1.000000,4.000,0.364363,0,1
11,positive,0.0,11,PACER-C,1.000000,1.000000,4.000,0.297676,0,1
11,positive,0.0,11,PACER-X,1.000000,1.000000,4.000,0.283939,0,1
11,positive,0.0,12,PostFilter-IVF,0.800000,0.000000,620.000,0.678247,0,0
11,positive,0.0,12,PreFilter-IVF,0.800000,0.000000,658.000,1.798598,0,0
11,positive,0.0,12,BitmapSlice-Exact,1.000000,1.000000,1681.000,2.224476,0,1
11,positive,0.0,12,PACER-A,0.900000,0.000000,700.000,2.343702,0,0
11,positive,0.0,12,PACER-C,1.000000,1.000000,1681.000,5.421549,0,1
11,positive,0.0,12,PACER-X,1.000000,1.000000,1681.000,5.624843,0,1
11,positive,0.0,13,PostFilter-IVF,0.600000,0.000000,640.000,0.515818,0,0
11,positive,0.0,13,PreFilter-IVF,0.700000,0.000000,595.000,0.979251,0,0
11,positive,0.0,13,BitmapSlice-Exact,1.000000,1.000000,108.000,0.192745,0,1
11,positive,0.0,13,PACER-A,1.000000,1.000000,108.000,3.259269,0,1
11,positive,0.0,13,PACER-C,1.000000,1.000000,108.000,2.641834,0,1
11,positive,0.0,13,PACER-X,1.000000,1.000000,108.000,2.645470,0,1
11,positive,0.0,14,PostFilter-IVF,0.333333,0.000000,600.000,0.584160,0,0
11,positive,0.0,14,PreFilter-IVF,1.000000,1.000000,208.000,0.535026,0,0
11,positive,0.0,14,BitmapSlice-Exact,1.000000,1.000000,3.000,0.060692,0,1
11,positive,0.0,14,PACER-A,1.000000,1.000000,3.000,0.253467,0,1
11,positive,0.0,14,PACER-C,1.000000,1.000000,3.000,0.264037,0,1
11,positive,0.0,14,PACER-X,1.000000,1.000000,3.000,0.228569,0,1
11,positive,0.0,15,PostFilter-IVF,1.000000,1.000000,664.000,0.570980,0,0
11,positive,0.0,15,PreFilter-IVF,1.000000,1.000000,114.000,0.307891,0,0
11,positive,0.0,15,BitmapSlice-Exact,1.000000,1.000000,1.000,0.053460,0,1
11,positive,0.0,15,PACER-A,1.000000,1.000000,1.000,0.115944,0,1
11,positive,0.0,15,PACER-C,1.000000,1.000000,1.000,0.097896,0,1
11,positive,0.0,15,PACER-X,1.000000,1.000000,1.000,0.118390,0,1
11,positive,0.12,0,PostFilter-IVF,0.800000,0.000000,656.000,0.857608,0,0
11,positive,0.12,0,PreFilter-IVF,0.800000,0.000000,624.000,2.312186,0,0
11,positive,0.12,0,BitmapSlice-Exact,1.000000,1.000000,1741.000,2.054386,0,1
11,positive,0.12,0,PACER-A,1.000000,1.000000,700.000,2.651016,0,0
11,positive,0.12,0,PACER-C,1.000000,1.000000,1741.000,7.117049,0,1
11,positive,0.12,0,PACER-X,1.000000,1.000000,1741.000,7.068540,0,1
11,positive,0.12,1,PostFilter-IVF,0.600000,0.000000,526.000,0.667587,0,0
11,positive,0.12,1,PreFilter-IVF,0.800000,0.000000,579.000,1.317338,0,0
11,positive,0.12,1,BitmapSlice-Exact,1.000000,1.000000,108.000,0.235986,0,1
11,positive,0.12,1,PACER-A,1.000000,1.000000,108.000,2.771418,0,1
11,positive,0.12,1,PACER-C,1.000000,1.000000,108.000,2.477323,0,1
11,positive,0.12,1,PACER-X,1.000000,1.000000,108.000,2.453599,0,1
11,positive,0.12,2,PostFilter-IVF,0.000000,0.000000,639.000,0.581105,0,0
11,positive,0.12,2,PreFilter-IVF,1.000000,1.000000,294.000,0.508545,0,0
11,positive,0.12,2,BitmapSlice-Exact,1.000000,1.000000,3.000,0.060416,0,1
11,positive,0.12,2,PACER-A,1.000000,1.000000,3.000,0.276791,0,1
11,positive,0.12,2,PACER-C,1.000000,1.000000,3.000,0.269191,0,1
11,positive,0.12,2,PACER-X,1.000000,1.000000,3.000,0.232284,0,1
11,positive,0.12,3,PostFilter-IVF,0.750000,0.000000,660.000,0.531628,0,0
