query_id,method,regime,recall_at_k,secure_topk_exact,failure_mode,policy_violations,deleted_violations,tenant_violations,latency_ms,raw_candidates,distance_evals,policy_checks,visited_cluster_count,certified
4,PreFilter-IVF,broad,0.8,0,ranking_truncation,0,0,0,1.674012999956176,1153,575,1153,8,0
4,GraphPostFilter,broad,0.9,0,ranking_truncation,0,0,0,17.876278000130696,1200,3937,1200,28,0
4,InlineGraph,broad,1.0,1,none,0,0,0,16.82285500010039,1200,2396,1200,29,0
4,PredicateGraph,broad,0.9,0,ranking_truncation,0,0,0,15.769982999927379,1200,2745,1200,29,0
4,ACORN-2Hop,broad,1.0,1,none,0,0,0,63.29278599991994,1200,4624,1200,33,0
4,FDANN-Beam,broad,1.0,1,none,0,0,0,88.45721399984541,1200,4324,1200,29,0
4,SeRF-Range,broad,1.0,1,none,0,0,0,3.830225000001519,1200,1200,1200,15,0
4,SIEVE-Collection,broad,1.0,1,none,0,0,0,3.4559079999780806,1200,1200,1200,15,0
4,BitmapSlice-Exact,broad,1.0,1,none,0,0,0,6.842170000027181,3979,3724,3979,0,1
4,PACER-A,broad,1.0,1,none,0,0,0,3.368609000062861,1200,1200,1200,15,0
4,PACER-C,broad,1.0,1,none,0,0,0,10.562792999962767,3979,3979,3979,48,1
4,PACER-X,broad,1.0,1,none,0,0,0,11.198494999916875,3979,3979,3979,48,1
5,PostFilter-IVF,medium,1.0,1,none,0,0,0,1.9443219998720451,1200,1200,1200,8,0
5,PreFilter-IVF,medium,1.0,1,none,0,0,0,1.3548179999816057,1351,58,1351,6,0
5,GraphPostFilter,medium,1.0,1,none,0,0,0,25.923960999989504,1200,4492,1200,29,0
5,InlineGraph,medium,1.0,1,none,0,0,0,1.7556190000505012,95,95,95,11,0
5,PredicateGraph,medium,1.0,1,none,0,0,0,16.431675999911022,1200,2078,1200,24,0
5,ACORN-2Hop,medium,1.0,1,none,0,0,0,22.39279700006591,1200,4583,1200,28,0
5,FDANN-Beam,medium,1.0,1,none,0,0,0,92.87294500018106,1200,4521,1200,27,0
5,SeRF-Range,medium,1.0,1,none,0,0,0,3.14922799998385,226,226,226,41,0
5,SIEVE-Collection,medium,1.0,1,none,0,0,0,2.7352910001354758,226,226,226,41,0
5,BitmapSlice-Exact,medium,1.0,1,none,0,0,0,0.5135339999924327,226,202,226,0,1
5,PACER-A,medium,1.0,1,none,0,0,0,3.3822380000856356,226,226,226,41,1
5,PACER-C,medium,1.0,1,none,0,0,0,3.270969000141122,226,226,226,41,1
5,PACER-X,medium,1.0,1,none,0,0,0,3.173985999865181,226,226,226,41,1
6,PostFilter-IVF,narrow,0.0,0,candidate_starvation,0,0,0,0.9477919998062134,1200,1200,1200,8,0
6,PreFilter-IVF,narrow,0.7777777777777778,0,candidate_starvation,0,0,0,1.3103550002142583,1399,7,1399,7,0
6,GraphPostFilter,narrow,0.1111111111111111,0,candidate_starvation,0,0,0,22.962192000022696,1200,4614,1200,30,0
6,InlineGraph,narrow,0.0,0,candidate_starvation,0,0,0,1.8362060000072233,50,50,50,10,0
6,PredicateGraph,narrow,0.1111111111111111,0,candidate_starvation,0,0,0,18.892137999955594,1200,2393,1200,30,0
6,ACORN-2Hop,narrow,0.1111111111111111,0,candidate_starvation,0,0,0,19.550736999917717,1200,4615,1200,30,0
6,FDANN-Beam,narrow,0.2222222222222222,0,candidate_starvation,0,0,0,107.24706199994216,1200,4852,1200,29,0
6,SeRF-Range,narrow,1.0,1,none,0,0,0,0.9091080000871443,11,11,11,8,0
6,SIEVE-Collection,narrow,1.0,1,none,0,0,0,0.5568730000504729,11,11,11,8,0
6,BitmapSlice-Exact,narrow,1.0,1,none,0,0,0,0.07884199999352859,11,9,11,0,1
6,PACER-A,narrow,1.0,1,none,0,0,0,0.6238969999685651,11,11,11,8,1
6,PACER-C,narrow,1.0,1,none,0,0,0,0.6445909998546995,11,11,11,8,1
6,PACER-X,narrow,1.0,1,none,0,0,0,0.5426819998319843,11,11,11,8,1
7,PostFilter-IVF,cold,1.0,1,none,0,0,0,0.863424000044688,1135,1135,1135,8,0
7,PreFilter-IVF,cold,1.0,1,none,0,0,0,0.5055799999809096,100,1,100,1,0
7,GraphPostFilter,cold,1.0,1,none,0,0,0,20.8564459999252,1200,4787,1200,33,0
7,InlineGraph,cold,1.0,1,none,0,0,0,1.3668179999513086,50,50,50,10,0
7,PredicateGraph,cold,1.0,1,none,0,0,0,17.81185999993795,1200,2401,1200,36,0
7,ACORN-2Hop,cold,1.0,1,none,0,0,0,23.71187799985819,1200,4787,1200,33,0
7,FDANN-Beam,cold,1.0,1,none,0,0,0,95.87571700012631,1200,4811,1200,32,0
7,SeRF-Range,cold,1.0,1,none,0,0,0,0.27404899992689025,1,1,1,1,0
7,SIEVE-Collection,cold,1.0,1,none,0,0,0,0.239272000044366,1,1,1,1,0
7,BitmapSlice-Exact,cold,1.0,1,none,0,0,0,0.058978999959435896,1,1,1,0,1
7,PACER-A,cold,1.0,1,none,0,0,0,0.14971700011301436,1,1,1,1,1
7,PACER-C,cold,1.0,1,none,0,0,0,0.11178899990227364,1,1,1,1,1
7,PACER-X,cold,1.0,1,none,0,0,0,0.1503209998645616,1,1,1,1,1
8,PostFilter-IVF,broad,0.9,0,ranking_truncation,0,0,0,0.9842150000167749,1001,1001,1001,8,0
8,PreFilter-IVF,broad,0.9,0,ranking_truncation,0,0,0,1.7604499998924439,981,474,981,8,0
8,GraphPostFilter,broad,0.9,0,ranking_truncation,0,0,0,17.27495199997975,1200,3689,1200,24,0
8,InlineGraph,broad,0.9,0,ranking_truncation,0,0,0,18.00982700001441,1200,2505,1200,31,0
8,PredicateGraph,broad,0.9,0,ranking_truncation,0,0,0,17.159236999987115,1200,2959,1200,28,0
8,ACORN-2Hop,broad,0.9,0,ranking_truncation,0,0,0,62.882942999976876,1200,4302,1200,31,0
8,FDANN-Beam,broad,0.9,0,ranking_truncation,0,0,0,78.74599100000523,1200,3894,1200,26,0
8,SeRF-Range,broad,0.9,0,ranking_truncation,0,0,0,3.7609389999033738,1200,1200,1200,17,0
8,SIEVE-Collection,broad,0.9,0,ranking_truncation,0,0,0,3.519808999953966,1200,1200,1200,17,0
8,BitmapSlice-Exact,broad,1.0,1,none,0,0,0,7.74333000003935,4035,3694,4035,0,1
8,PACER-A,broad,0.9,0,ranking_truncation,0,0,0,3.4863349999341153,1200,1200,1200,17,0
8,PACER-C,broad,1.0,1,none,0,0,0,11.569559999998091,4035,4035,4035,48,1
8,PACER-X,broad,1.0,1,none,0,0,0,12.720902000182832,4035,4035,4035,48,1
9,PostFilter-IVF,medium,0.3,0,ranking_truncation,0,0,0,1.185640999892712,1200,1200,1200,8,0
9,PreFilter-IVF,medium,0.2,0,ranking_truncation,0,0,0,1.3882920000014565,1327,13,1327,8,0
9,GraphPostFilter,medium,0.7,0,ranking_truncation,0,0,0,20.997004000037123,1200,3757,1200,25,0
9,InlineGraph,medium,0.4,0,ranking_truncation,0,0,0,2.459300000055009,95,95,95,15,0
9,PredicateGraph,medium,0.7,0,ranking_truncation,0,0,0,16.867145000105666,1200,2182,1200,27,0
9,ACORN-2Hop,medium,0.8,0,ranking_truncation,0,0,0,19.28905499994471,1200,3804,1200,25,0
9,FDANN-Beam,medium,0.9,0,ranking_truncation,0,0,0,72.78569900017828,1200,3774,1200,24,0
9,SeRF-Range,medium,1.0,1,none,0,0,0,3.558475999852817,208,208,208,40,0
9,SIEVE-Collection,medium,1.0,1,none,0,0,0,2.7084210000793973,208,208,208,40,0
9,BitmapSlice-Exact,medium,1.0,1,none,0,0,0,0.5020100002184336,208,189,208,0,1
9,PACER-A,medium,1.0,1,none,0,0,0,3.0172509998465102,208,208,208,40,1
9,PACER-C,medium,1.0,1,none,0,0,0,3.0272649999005807,208,208,208,40,1
9,PACER-X,medium,1.0,1,none,0,0,0,3.069844000037847,208,208,208,40,1
10,PostFilter-IVF,narrow,1.0,1,none,0,0,0,1.4614940000683418,1200,1200,1200,8,0
10,PreFilter-IVF,narrow,1.0,1,none,0,0,0,0.9238149998509471,620,3,620,3,0
