query_id,method,latency_ms,raw_candidates,distance_evals,policy_checks,summary_checks,visited_cluster_count,bitset_intersection_ms,query_bitset_popcount,certified
0,ExactSecure,9.616112999992765,15000,6511,15000,0,0,0.04716000012194854,7202,1
0,PostFilter-IVF,1.5734730000076524,1200,1200,1200,0,8,0.04716000012194854,7202,0
0,PreFilter-IVF,2.017589999923075,1263,513,1263,6,6,0.04716000012194854,7202,0
0,BitmapSlice-Exact,16.929590000017924,7202,6511,7202,0,0,0.04716000012194854,7202,1
0,PACER-A,4.826079999929789,1200,1200,1200,13,13,0.04716000012194854,7202,0
0,PACER-C,16.257728000027782,4800,4800,4800,46,46,0.04716000012194854,7202,0
0,PACER-X,23.648474000083297,7202,7202,7202,64,64,0.04716000012194854,7202,1
1,ExactSecure,8.42691200000445,15000,306,15000,0,0,0.03250700001444784,345,1
1,PostFilter-IVF,1.2263569999504398,1200,1200,1200,0,8,0.03250700001444784,345,0
1,PreFilter-IVF,1.3501670000550803,1225,32,1225,6,6,0.03250700001444784,345,0
1,BitmapSlice-Exact,0.9982649999074056,345,306,345,0,0,0.03250700001444784,345,1
1,PACER-A,5.246484000053897,345,345,345,64,55,0.03250700001444784,345,1
1,PACER-C,5.377629000122397,345,345,345,64,55,0.03250700001444784,345,1
1,PACER-X,5.013545999872804,345,345,345,64,55,0.03250700001444784,345,1
2,ExactSecure,8.05577899996024,15000,8,15000,0,0,0.019325000039316365,10,1
2,PostFilter-IVF,1.2710349999451864,1200,1200,1200,0,8,0.019325000039316365,10,0
2,PreFilter-IVF,1.3629840000248805,1021,8,1021,64,4,0.019325000039316365,10,0
2,BitmapSlice-Exact,0.10940900006062293,10,8,10,0,0,0.019325000039316365,10,1
2,PACER-A,0.49372600005881395,10,10,10,55,4,0.019325000039316365,10,1
2,PACER-C,0.4582910000863194,10,10,10,55,4,0.019325000039316365,10,1
2,PACER-X,0.4027449999739474,10,10,10,55,4,0.019325000039316365,10,1
3,ExactSecure,7.797514000003503,15000,5,15000,0,0,0.021301999822753714,6,1
3,PostFilter-IVF,1.135191000003033,1200,1200,1200,0,8,0.021301999822753714,6,0
3,PreFilter-IVF,1.1673010001231887,948,5,948,64,3,0.021301999822753714,6,0
3,BitmapSlice-Exact,0.08517100013705203,6,5,6,0,0,0.021301999822753714,6,1
3,PACER-A,0.43253100011497736,6,6,6,48,3,0.021301999822753714,6,1
3,PACER-C,0.3499140000258194,6,6,6,48,3,0.021301999822753714,6,1
3,PACER-X,0.325458999896,6,6,6,48,3,0.021301999822753714,6,1
4,ExactSecure,9.225071999935608,15000,7021,15000,0,0,0.026763999812828843,7491,1
4,PostFilter-IVF,1.1114809999526187,1200,1200,1200,0,8,0.026763999812828843,7491,0
4,PreFilter-IVF,1.4123559999461577,1310,640,1310,7,7,0.026763999812828843,7491,0
4,BitmapSlice-Exact,17.70957000007911,7491,7021,7491,0,0,0.026763999812828843,7491,1
4,PACER-A,4.1410710000491235,1200,1200,1200,11,11,0.026763999812828843,7491,0
4,PACER-C,15.791284999977506,4800,4800,4800,41,41,0.026763999812828843,7491,0
4,PACER-X,23.523823000004995,7491,7491,7491,64,64,0.026763999812828843,7491,1
5,ExactSecure,8.377487999950972,15000,317,15000,0,0,0.026549000040176907,355,1
5,PostFilter-IVF,1.2175500000921602,1200,1200,1200,0,8,0.026549000040176907,355,0
5,PreFilter-IVF,1.2220730000080948,1491,29,1491,5,5,0.026549000040176907,355,0
5,BitmapSlice-Exact,0.9573390000241488,355,317,355,0,0,0.026549000040176907,355,1
5,PACER-A,5.1940440000635135,355,355,355,64,57,0.026549000040176907,355,1
5,PACER-C,4.876482000099713,355,355,355,64,57,0.026549000040176907,355,1
5,PACER-X,4.923263000137013,355,355,355,64,57,0.026549000040176907,355,1
6,ExactSecure,7.195582000122158,15000,7,15000,0,0,0.017521000017950428,7,1
6,PostFilter-IVF,1.0496280001461855,1200,1200,1200,0,8,0.017521000017950428,7,0
6,PreFilter-IVF,1.3490249998540094,1391,5,1391,32,5,0.017521000017950428,7,0
6,BitmapSlice-Exact,0.08173699984581617,7,7,7,0,0,0.017521000017950428,7,1
6,PACER-A,0.6239019999156881,7,7,7,47,7,0.017521000017950428,7,1
6,PACER-C,0.5200299999614799,7,7,7,47,7,0.017521000017950428,7,1
6,PACER-X,0.5831989999478537,7,7,7,47,7,0.017521000017950428,7,1
7,ExactSecure,7.636618000105955,15000,11,15000,0,0,0.013945000091553084,12,1
7,PostFilter-IVF,1.1582219999581866,1200,1200,1200,0,8,0.013945000091553084,12,0
7,PreFilter-IVF,1.108165999994526,1217,9,1217,37,5,0.013945000091553084,12,0
7,BitmapSlice-Exact,0.10622000013427169,12,11,12,0,0,0.013945000091553084,12,1
7,PACER-A,0.605583000151455,12,12,12,48,7,0.013945000091553084,12,1
7,PACER-C,0.6579220000730857,12,12,12,48,7,0.013945000091553084,12,1
7,PACER-X,0.5903349999698548,12,12,12,48,7,0.013945000091553084,12,1
