query_id,kind,method,n,dim,visible_count,recall_at_k,secure_topk_exact,failure_mode,latency_ms,candidates,raw_candidates,policy_checks,visited_cluster_count,certified,certificate_false_positive,summary_pruned_clusters
11,semijoin,ExactSQL-AST,9000,64,172,1.0,1,none,0.5357630006983527,172,9000,9000,0,1,0,0
11,semijoin,PostFilter-SQL-AST,9000,64,172,0.6,0,ranking_truncation,0.2564070000516949,16,935,935,8,0,0,0
11,semijoin,PACER-A-SQL-AST,9000,64,172,0.9,0,ranking_truncation,5.110220000460686,89,4800,4800,37,0,0,0
11,semijoin,PACER-X-SQL-AST,9000,64,172,1.0,1,none,8.26426999992691,172,9000,9000,64,1,0,0
12,antijoin,ExactSQL-AST,9000,64,1645,1.0,1,none,0.5599340001936071,1645,9000,9000,0,1,0,0
12,antijoin,PostFilter-SQL-AST,9000,64,1645,0.4,0,ranking_truncation,0.24117700013448484,227,1169,1169,8,0,0,0
12,antijoin,PACER-A-SQL-AST,9000,64,1645,1.0,1,none,6.212721999872883,919,4800,4800,36,0,0,0
12,antijoin,PACER-X-SQL-AST,9000,64,1645,1.0,1,none,10.39632599986362,1645,9000,9000,64,1,0,0
13,range,ExactSQL-AST,9000,64,559,1.0,1,none,0.31492000016442034,559,9000,9000,0,1,0,0
13,range,PostFilter-SQL-AST,9000,64,559,0.8,0,ranking_truncation,0.218388000575942,126,1185,1185,8,0,0,0
13,range,PACER-A-SQL-AST,9000,64,559,1.0,1,none,4.10917800036259,331,4800,4800,32,0,0,0
13,range,PACER-X-SQL-AST,9000,64,559,1.0,1,none,7.772965999720327,559,9000,9000,64,1,0,0
14,mixed,ExactSQL-AST,9000,64,2474,1.0,1,none,0.5486870004460798,2474,9000,9000,0,1,0,0
14,mixed,PostFilter-SQL-AST,9000,64,2474,0.4,0,ranking_truncation,0.24586400013504317,234,1074,1074,8,0,0,0
14,mixed,PACER-A-SQL-AST,9000,64,2474,0.9,0,ranking_truncation,5.0114939995182795,1409,4800,4800,37,0,0,0
14,mixed,PACER-X-SQL-AST,9000,64,2474,1.0,1,none,8.978368000498449,2474,9000,9000,64,1,0,0
15,dnf,ExactSQL-AST,9000,64,447,1.0,1,none,0.8434050005234894,447,9000,9000,0,1,0,0
15,dnf,PostFilter-SQL-AST,9000,64,447,1.0,1,none,0.3236620004827273,63,994,994,8,0,0,0
15,dnf,PACER-A-SQL-AST,9000,64,447,1.0,1,none,7.147295000322629,250,4800,4800,30,0,0,0
15,dnf,PACER-X-SQL-AST,9000,64,447,1.0,1,none,14.704222000545997,447,9000,9000,64,1,0,0
16,semijoin,ExactSQL-AST,9000,64,127,1.0,1,none,0.4285119994165143,127,9000,9000,0,1,0,0
16,semijoin,PostFilter-SQL-AST,9000,64,127,0.7,0,ranking_truncation,0.273763999757648,22,1014,1014,8,0,0,0
16,semijoin,PACER-A-SQL-AST,9000,64,127,1.0,1,none,5.261848000372993,78,4800,4800,36,0,0,0
16,semijoin,PACER-X-SQL-AST,9000,64,127,1.0,1,none,9.027065999362094,127,9000,9000,64,1,0,0
17,antijoin,ExactSQL-AST,9000,64,1993,1.0,1,none,0.7154349996199016,1993,9000,9000,0,1,0,0
17,antijoin,PostFilter-SQL-AST,9000,64,1993,0.6,0,ranking_truncation,0.3051390003747656,378,1188,1188,8,0,0,0
17,antijoin,PACER-A-SQL-AST,9000,64,1993,1.0,1,none,5.795953000415466,1234,4800,4800,33,0,0,0
