query_id,regime,correlation,method,budget,recall_at_k,secure_topk_exact,latency_ms,candidates,raw_candidates,distance_evals,policy_checks,policy_violations,deleted_violations,tenant_violations,certified
0,broad,positive,PostFilter-IVF,150,0.4,0,0.532161999899472,64,150,150,150,0,0,0,0
0,broad,positive,AdaptivePostFilter-IVF,150,0.1,0,0.6621559998620796,51,150,150,150,0,0,0,0
0,broad,positive,PACER-A,150,0.2,0,1.9934659999307769,136,150,150,150,0,0,0,0
1,medium,positive,PostFilter-IVF,150,0.4,0,0.36400099997990765,4,150,150,150,0,0,0,0
1,medium,positive,AdaptivePostFilter-IVF,150,0.1,0,0.27372199997444113,4,150,150,150,0,0,0,0
1,medium,positive,PACER-A,150,0.8,0,2.492452000069534,135,150,150,150,0,0,0,0
2,narrow,positive,PostFilter-IVF,150,0.1,0,0.43138799992448185,1,150,150,150,0,0,0,0
2,narrow,positive,AdaptivePostFilter-IVF,150,0.0,0,0.17060599998330872,0,150,150,150,0,0,0,0
2,narrow,positive,PACER-A,150,1.0,1,0.8215070001824643,17,21,21,21,0,0,0,1
3,cold,positive,PostFilter-IVF,150,0.3333333333333333,0,0.30275499989329546,1,150,150,150,0,0,0,0
3,cold,positive,AdaptivePostFilter-IVF,150,0.3333333333333333,0,0.2866859999812732,1,150,150,150,0,0,0,0
3,cold,positive,PACER-A,150,1.0,1,0.3892530000939587,3,3,3,3,0,0,0,1
4,broad,positive,PostFilter-IVF,150,0.9,0,0.333932000103232,67,150,150,150,0,0,0,0
4,broad,positive,AdaptivePostFilter-IVF,150,0.7,0,0.22010900011082413,69,150,150,150,0,0,0,0
4,broad,positive,PACER-A,150,0.8,0,0.9548399998493551,131,150,150,150,0,0,0,0
5,medium,positive,PostFilter-IVF,150,0.3,0,0.34574799997244554,3,150,150,150,0,0,0,0
5,medium,positive,AdaptivePostFilter-IVF,150,0.2,0,0.20304800000303658,3,150,150,150,0,0,0,0
5,medium,positive,PACER-A,150,0.8,0,3.5540440001113893,128,150,150,150,0,0,0,0
6,narrow,positive,PostFilter-IVF,150,0.3333333333333333,0,0.43382099988775735,1,150,150,150,0,0,0,0
6,narrow,positive,AdaptivePostFilter-IVF,150,0.3333333333333333,0,0.18166600011682021,1,150,150,150,0,0,0,0
6,narrow,positive,PACER-A,150,1.0,1,0.7131639999897743,3,3,3,3,0,0,0,1
7,cold,positive,PostFilter-IVF,150,0.3333333333333333,0,0.3708249998908286,1,150,150,150,0,0,0,0
7,cold,positive,AdaptivePostFilter-IVF,150,0.3333333333333333,0,0.1584429999184067,1,150,150,150,0,0,0,0
7,cold,positive,PACER-A,150,1.0,1,0.3702750000229571,3,3,3,3,0,0,0,1
8,broad,positive,PostFilter-IVF,150,0.5,0,0.3457160000834847,82,150,150,150,0,0,0,0
8,broad,positive,AdaptivePostFilter-IVF,150,0.1,0,0.3051599999253085,87,150,150,150,0,0,0,0
8,broad,positive,PACER-A,150,0.2,0,0.9515489998648263,136,150,150,150,0,0,0,0
9,medium,positive,PostFilter-IVF,150,0.8,0,0.35658399997373635,13,150,150,150,0,0,0,0
9,medium,positive,AdaptivePostFilter-IVF,150,0.2,0,0.15692200008743384,2,150,150,150,0,0,0,0
9,medium,positive,PACER-A,150,1.0,1,3.158543000154168,142,150,150,150,0,0,0,0
10,narrow,positive,PostFilter-IVF,150,0.2,0,0.2927660000295873,1,150,150,150,0,0,0,0
10,narrow,positive,AdaptivePostFilter-IVF,150,0.2,0,0.19956200003434788,1,150,150,150,0,0,0,0
10,narrow,positive,PACER-A,150,1.0,1,0.3822290000243811,5,5,5,5,0,0,0,1
11,cold,positive,PostFilter-IVF,150,0.5,0,0.34163800000897027,3,150,150,150,0,0,0,0
11,cold,positive,AdaptivePostFilter-IVF,150,0.3333333333333333,0,0.25627000013628276,2,150,150,150,0,0,0,0
11,cold,positive,PACER-A,150,1.0,1,0.4991700000118726,6,6,6,6,0,0,0,1
12,broad,positive,PostFilter-IVF,150,1.0,1,0.3287740000814665,73,150,150,150,0,0,0,0
12,broad,positive,AdaptivePostFilter-IVF,150,0.7,0,0.18795900018631073,71,150,150,150,0,0,0,0
12,broad,positive,PACER-A,150,0.8,0,0.8355879999726312,135,150,150,150,0,0,0,0
13,medium,positive,PostFilter-IVF,150,0.4,0,0.392689999898721,4,150,150,150,0,0,0,0
13,medium,positive,AdaptivePostFilter-IVF,150,0.3,0,0.19692499995471735,7,150,150,150,0,0,0,0
13,medium,positive,PACER-A,150,0.8,0,3.1242869999914546,139,150,150,150,0,0,0,0
14,narrow,positive,PostFilter-IVF,150,0.0,0,0.358561999973972,0,150,150,150,0,0,0,0
14,narrow,positive,AdaptivePostFilter-IVF,150,0.0,0,0.349640999957046,0,150,150,150,0,0,0,0
14,narrow,positive,PACER-A,150,1.0,1,0.5201779999879363,4,5,5,5,0,0,0,1
