epoch,queries,stale_residues_in_index,pacer_deleted_results,pacer_certify_deleted_results,stale_no_recheck_deleted_results,naive_deleted_results
1,24,32,0,0,50,81
2,24,72,0,0,36,57
3,24,121,0,0,20,39
4,24,169,0,0,10,19
5,24,220,0,0,4,5
6,24,273,0,0,4,5
7,24,320,0,0,5,7
8,24,360,0,0,5,8
9,24,384,0,0,6,9
