query_id,regime,correlation,method,n,dim,k,allowed_count,selectivity,returned,recall_at_k,secure_topk_exact,failure_mode,policy_violations,deleted_violations,tenant_violations,explanation_valid,explanation_total,explanation_accuracy,latency_ms,raw_candidates,candidates,distance_evals,policy_checks,summary_checks,visited_cluster_count,certified,certified_and_exact,certificate_false_positive,certificate_gap,truncated_visible_slice
0,broad,positive,ExactSecure,8000,64,10,3702,0.46275,10,1.0,1,none,0,0,0,10,10,1.0,4.48812500007989,8000,3702,3702,8000,0,0,1,1,0,0.0,0
0,broad,positive,PreFilter-Exact,8000,64,10,3702,0.46275,10,1.0,1,none,0,0,0,10,10,1.0,4.401724999752332,8000,3702,3702,8000,0,0,1,1,0,0.0,0
0,broad,positive,BitmapSlice-Exact,8000,64,10,3702,0.46275,10,1.0,1,none,0,0,0,10,10,1.0,7.237442000132432,4012,3702,3702,4012,0,0,1,1,0,0.0,0
0,broad,positive,ScalarOnly,8000,64,10,3702,0.46275,10,0.0,0,ranking_truncation,0,0,0,10,10,1.0,4.0969409997160255,8000,3702,0,8000,0,0,0,1,0,0.0,0
0,broad,positive,PostFilter-IVF,8000,64,10,3702,0.46275,10,0.7,0,ranking_truncation,0,0,0,10,10,1.0,1.1772650000239082,1329,536,1329,1329,0,8,0,1,0,0.0,0
0,broad,positive,AdaptivePostFilter-IVF,8000,64,10,3702,0.46275,10,1.0,1,none,0,0,0,10,10,1.0,4.4621930001085275,4800,2174,4800,4800,0,30,0,1,0,0.0,0
0,broad,positive,ExactPrefix-PostFilter,8000,64,10,3702,0.46275,10,1.0,1,none,0,0,0,10,10,1.0,1.8930139999611129,1600,725,8000,1600,0,0,0,1,0,0.0,0
0,broad,positive,TenantPartition-IVF,8000,64,10,3702,0.46275,10,0.7,0,ranking_truncation,0,0,0,10,10,1.0,0.9727530000418483,1329,536,1329,1329,0,8,0,1,0,0.0,0
0,broad,positive,PreFilter-IVF,8000,64,10,3702,0.46275,10,0.7,0,ranking_truncation,0,0,0,10,10,1.0,1.7189279997182894,1329,536,536,1329,8,8,0,1,0,0.0,0
0,broad,positive,PACER-A,8000,64,10,3702,0.46275,10,1.0,1,none,0,0,0,10,10,1.0,4.4674229998236115,1600,1482,1600,1600,19,19,0,1,0,0.6425594091415405,1
0,broad,positive,PACER-C,8000,64,10,3702,0.46275,10,1.0,1,none,0,0,0,10,10,1.0,11.25194999985979,4012,3702,4012,4012,48,48,1,1,0,0.0,0
0,broad,positive,PACER-X,8000,64,10,3702,0.46275,10,1.0,1,none,0,0,0,10,10,1.0,11.346505999881629,4012,3702,4012,4012,48,48,1,1,0,0.0,0
0,broad,positive,PACER-A-NoSlices,8000,64,10,3702,0.46275,10,1.0,1,none,0,0,0,10,10,1.0,1.9562649999897985,1600,753,1600,1600,10,10,0,1,0,0.6685469150543213,1
0,broad,positive,PACER-A-NoBounds,8000,64,10,3702,0.46275,10,1.0,1,none,0,0,0,10,10,1.0,5.516594999789959,1600,1488,1600,1600,18,18,0,1,0,0.0,1
0,broad,positive,StaleNoRecheck,8000,64,10,3702,0.46275,10,0.7,0,ranking_truncation,0,1,0,9,10,0.9,1.1258900003667804,1329,584,1329,1329,0,8,0,1,0,0.0,0
0,broad,positive,NaiveNoPolicy,8000,64,10,3702,0.46275,10,0.5,0,ranking_truncation,0,0,5,5,10,0.5,0.3336509998916881,1329,1329,1329,0,0,8,0,1,0,0.0,0
1,medium,positive,ExactSecure,8000,64,10,204,0.0255,10,1.0,1,none,0,0,0,10,10,1.0,4.2547230000309355,8000,204,204,8000,0,0,1,1,0,0.0,0
1,medium,positive,PreFilter-Exact,8000,64,10,204,0.0255,10,1.0,1,none,0,0,0,10,10,1.0,4.177241999968828,8000,204,204,8000,0,0,1,1,0,0.0,0
1,medium,positive,BitmapSlice-Exact,8000,64,10,204,0.0255,10,1.0,1,none,0,0,0,10,10,1.0,0.48326000023735105,228,204,204,228,0,0,1,1,0,0.0,0
1,medium,positive,ScalarOnly,8000,64,10,204,0.0255,10,0.0,0,ranking_truncation,0,0,0,10,10,1.0,4.038779999973485,8000,204,0,8000,0,0,0,1,0,0.0,0
1,medium,positive,PostFilter-IVF,8000,64,10,204,0.0255,10,0.7,0,ranking_truncation,0,0,0,10,10,1.0,0.9821240000746911,1222,38,1222,1222,0,8,0,1,0,0.0,0
1,medium,positive,AdaptivePostFilter-IVF,8000,64,10,204,0.0255,10,1.0,1,none,0,0,0,10,10,1.0,4.375837000225147,4800,141,4800,4800,0,30,0,1,0,0.0,0
1,medium,positive,ExactPrefix-PostFilter,8000,64,10,204,0.0255,10,1.0,1,none,0,0,0,10,10,1.0,1.9051959998250823,1600,36,8000,1600,0,0,0,1,0,0.0,0
1,medium,positive,TenantPartition-IVF,8000,64,10,204,0.0255,10,0.7,0,ranking_truncation,0,0,0,10,10,1.0,0.7659709999643383,1222,38,1222,1222,0,8,0,1,0,0.0,0
1,medium,positive,PreFilter-IVF,8000,64,10,204,0.0255,10,0.7,0,ranking_truncation,0,0,0,10,10,1.0,1.2890640000478015,1203,39,39,1203,9,8,0,1,0,0.0,0
1,medium,positive,PACER-A,8000,64,10,204,0.0255,10,1.0,1,none,0,0,0,10,10,1.0,2.9318780002540734,228,204,228,228,48,36,1,1,0,0.0,0
1,medium,positive,PACER-C,8000,64,10,204,0.0255,10,1.0,1,none,0,0,0,10,10,1.0,3.0124179997983447,228,204,228,228,48,36,1,1,0,0.0,0
1,medium,positive,PACER-X,8000,64,10,204,0.0255,10,1.0,1,none,0,0,0,10,10,1.0,2.920457000072929,228,204,228,228,48,36,1,1,0,0.0,0
1,medium,positive,PACER-A-NoSlices,8000,64,10,204,0.0255,10,0.8,0,ranking_truncation,0,0,0,10,10,1.0,1.7668020000201068,1600,41,1600,1600,11,11,0,1,0,0.836451455950737,1
1,medium,positive,PACER-A-NoBounds,8000,64,10,204,0.0255,10,1.0,1,none,0,0,0,10,10,1.0,3.054081000300357,228,204,228,228,48,36,1,1,0,0.0,0
1,medium,positive,StaleNoRecheck,8000,64,10,204,0.0255,10,0.7,0,ranking_truncation,0,2,0,8,10,0.8,1.028232999942702,1222,44,1222,1222,0,8,0,1,0,0.0,0
1,medium,positive,NaiveNoPolicy,8000,64,10,204,0.0255,10,0.2,0,ranking_truncation,7,0,7,2,10,0.2,0.31388799970955006,1222,1222,1222,0,0,8,0,1,0,0.0,0
2,narrow,positive,ExactSecure,8000,64,10,5,0.000625,5,1.0,1,none,0,0,0,5,5,1.0,3.875326000070345,8000,5,5,8000,0,0,1,1,0,0.0,0
2,narrow,positive,PreFilter-Exact,8000,64,10,5,0.000625,5,1.0,1,none,0,0,0,5,5,1.0,4.357425999842235,8000,5,5,8000,0,0,1,1,0,0.0,0
2,narrow,positive,BitmapSlice-Exact,8000,64,10,5,0.000625,5,1.0,1,none,0,0,0,5,5,1.0,0.08299199998873519,5,5,5,5,0,0,1,1,0,0.0,0
2,narrow,positive,ScalarOnly,8000,64,10,5,0.000625,5,1.0,0,ranking_truncation,0,0,0,5,5,1.0,4.1942009997910645,8000,5,0,8000,0,0,0,1,0,0.0,0
2,narrow,positive,PostFilter-IVF,8000,64,10,5,0.000625,2,0.4,0,candidate_starvation,0,0,0,2,2,1.0,1.0527190001994313,1254,2,1254,1254,0,8,0,1,0,0.0,0
2,narrow,positive,AdaptivePostFilter-IVF,8000,64,10,5,0.000625,4,0.8,0,candidate_starvation,0,0,0,4,4,1.0,4.01474699992832,4800,4,4800,4800,0,29,0,1,0,0.0,0
2,narrow,positive,ExactPrefix-PostFilter,8000,64,10,5,0.000625,2,0.4,0,candidate_starvation,0,0,0,2,2,1.0,1.8207210000582563,1600,2,8000,1600,0,0,0,1,0,0.0,0
2,narrow,positive,TenantPartition-IVF,8000,64,10,5,0.000625,2,0.4,0,candidate_starvation,0,0,0,2,2,1.0,0.5593669998233963,1254,2,1254,1254,0,8,0,1,0,0.0,0
