epoch,query_id,method,base_rows,delta_rows,visible_rows,inserted_since_compaction,tombstones_to_date,recall_at_k,secure_topk_exact,raw_checks,rebuild_ms,policy_violations,epoch_violations
1,19,DeltaPACER,4132,1199,5289,1199,42,1.0,1,1202,0.0,0,0
1,19,FreshSlice-Rebuild,4132,1199,5289,1199,42,1.0,1,4,109.32820100015306,0,0
2,0,BaseOnly-Stale,4132,2328,6329,2328,131,0.5,0,1628,0.0,0,0
2,0,DeltaPACER,4132,2328,6329,2328,131,1.0,1,3956,0.0,0,0
2,0,FreshSlice-Rebuild,4132,2328,6329,2328,131,1.0,1,2581,98.23645599999509,0,0
2,1,BaseOnly-Stale,4132,2328,6329,2328,131,0.4,0,132,0.0,0,0
2,1,DeltaPACER,4132,2328,6329,2328,131,1.0,1,2460,0.0,0,0
2,1,FreshSlice-Rebuild,4132,2328,6329,2328,131,1.0,1,216,98.23645599999509,0,0
2,2,BaseOnly-Stale,4132,2328,6329,2328,131,1.0,1,3,0.0,0,0
2,2,DeltaPACER,4132,2328,6329,2328,131,1.0,1,2331,0.0,0,0
2,2,FreshSlice-Rebuild,4132,2328,6329,2328,131,1.0,1,3,98.23645599999509,0,0
2,3,BaseOnly-Stale,4132,2328,6329,2328,131,0.5,0,1,0.0,0,0
2,3,DeltaPACER,4132,2328,6329,2328,131,1.0,1,2329,0.0,0,0
2,3,FreshSlice-Rebuild,4132,2328,6329,2328,131,1.0,1,2,98.23645599999509,0,0
2,4,BaseOnly-Stale,4132,2328,6329,2328,131,0.9,0,1643,0.0,0,0
2,4,DeltaPACER,4132,2328,6329,2328,131,1.0,1,3971,0.0,0,0
2,4,FreshSlice-Rebuild,4132,2328,6329,2328,131,1.0,1,2529,98.23645599999509,0,0
2,5,BaseOnly-Stale,4132,2328,6329,2328,131,1.0,1,130,0.0,0,0
2,5,DeltaPACER,4132,2328,6329,2328,131,1.0,1,2458,0.0,0,0
2,5,FreshSlice-Rebuild,4132,2328,6329,2328,131,1.0,1,199,98.23645599999509,0,0
2,6,BaseOnly-Stale,4132,2328,6329,2328,131,0.5,0,1,0.0,0,0
2,6,DeltaPACER,4132,2328,6329,2328,131,1.0,1,2329,0.0,0,0
2,6,FreshSlice-Rebuild,4132,2328,6329,2328,131,1.0,1,2,98.23645599999509,0,0
2,7,BaseOnly-Stale,4132,2328,6329,2328,131,0.5,0,1,0.0,0,0
2,7,DeltaPACER,4132,2328,6329,2328,131,1.0,1,2329,0.0,0,0
2,7,FreshSlice-Rebuild,4132,2328,6329,2328,131,1.0,1,2,98.23645599999509,0,0
2,8,BaseOnly-Stale,4132,2328,6329,2328,131,0.7,0,1933,0.0,0,0
2,8,DeltaPACER,4132,2328,6329,2328,131,1.0,1,4261,0.0,0,0
2,8,FreshSlice-Rebuild,4132,2328,6329,2328,131,1.0,1,3062,98.23645599999509,0,0
