epoch,queries,stale_residues_in_index,pacer_deleted_results,pacer_certify_deleted_results,stale_no_recheck_deleted_results,naive_deleted_results
1,24,59,0,0,46,86
2,24,133,0,0,28,52
3,24,242,0,0,21,30
4,24,357,0,0,13,22
5,24,491,0,0,7,14
6,24,646,0,0,9,18
7,24,777,0,0,12,22
8,24,849,0,0,12,22
9,24,908,0,0,13,22
